Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00351096623508884,0.00311304963751545,0.0860952686335844,0,0,0,39.260925336175,0.109516133306261,-8.68173810527158E-05,0.000883890256041474,0.150649045280319,0.000108208406462926,0.171831238448549,0,0,0,0,0,0,package://slip/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/base_link.STL,,CB3914895EA-50Ah Cell-1;BSB 30x30-8 444mm-4;BSB 30x30-8 324mm-1;BSB 30x30-8 324mm-2;BSB 30x30-8 444mm-7;BSB 30x30-8 262mm-1;BSB 30x30-8 262mm-2;BSB 30x30-8 162mm-1;BSB 30x30-8 322mm (tapped ends)-1;BSB 30x30-8 162mm-3;BSB 30x30-8 90mm-1;BSB 30x30-8 162mm-10;BSB 30x30-8 684mm-14;BSB 30x30-8 262mm-3;BSB 30x30-8 262mm-4;BSB 30x30-8 324mm-3;90degree angle bracket 30x30-8(M6)-1;90degree angle bracket 30x30-8(M6)-2;90degree angle bracket 30x30-8(M6)-3;90degree angle bracket 30x30-8(M6)-5;90degree angle bracket 30x30-8(M6)-4;90degree angle bracket 30x30-8(M6)-7;90degree angle bracket 30x30-8(M6)-8;90degree angle bracket 30x30-8(M6)-9;90degree angle bracket 30x30-8(M6)-10;90degree angle bracket 30x30-8(M6)-11;90degree angle bracket 30x30-8(M6)-12;90degree angle bracket 30x30-8(M6)-13;90degree angle bracket 30x30-8(M6)-14;90degree angle bracket 30x30-8(M6)-16;90degree angle bracket 30x30-8(M6)-17;HC-SR04-5;Side^Full assembly-1;Sideplate^Full assembly-1;BSB 30x30-8 684mm-15;Topplates^Full assembly-1;RearCover^Full assembly-2;DCNLM50NBXX.step-1;JK-BD6A20S10P (1)-1;Part3^Full assembly-1;50wr5j cement resistor.step-3;50wr5j cement resistor.step-4;Littelfuse-Solenoids-Relays-DCNEV250-Series-3D Model.step-1;50wr5j cement resistor.step-1;50wr5j cement resistor.step-2;20-60v 12v 3a converter-1;Jetsonorin-1;Acer USB Hub-1;Part256^Full assembly-1;front plates v2^Full assembly-1;80x80x25 9 blade fan.STEP-1;Sideplate^Full assembly-3;wheel assembly-3/Mounting Plates^wheel assembly-1;Side^Full assembly-2;MirrorSideplate^Full assembly-3;HC-SR04-4;HC-SR04-3;MirrorHC-SR04-5;Sideplate^Full assembly-2;wheel assembly-1/Mounting Plates^wheel assembly-1;wheel assembly-4/Mounting Plates^wheel assembly-1;wheel assembly-2/Mounting Plates^wheel assembly-1;wheel assembly-4/7070 Motor subassembly-1/Part3^7070 Motor subassembly-1;wheel assembly-4/ODrive S1 Housing + Driver Assembly-1;wheel assembly-4/Odrive Bracket^wheel assembly-1;wheel assembly-4/7070 Motor subassembly-1/Part2^7070 Motor subassembly-1;wheel assembly-4/EG23-G20-D8-1;wheel assembly-2/7070 Motor subassembly-1/Part3^7070 Motor subassembly-1;wheel assembly-2/Odrive Bracket^wheel assembly-1;wheel assembly-2/ODrive S1 Housing + Driver Assembly-1;wheel assembly-2/7070 Motor subassembly-1/Part2^7070 Motor subassembly-1;wheel assembly-2/EG23-G20-D8-1;wheel assembly-2/Gearboxhousing bearing sleeve^wheel assembly-1;wheel assembly-4/Gearboxhousing bearing sleeve^wheel assembly-1;wheel assembly-3/7070 Motor subassembly-1/Part3^7070 Motor subassembly-1;wheel assembly-3/Odrive Bracket^wheel assembly-1;wheel assembly-3/ODrive S1 Housing + Driver Assembly-1;wheel assembly-3/7070 Motor subassembly-1/Part2^7070 Motor subassembly-1;wheel assembly-3/EG23-G20-D8-1;wheel assembly-3/Gearboxhousing bearing sleeve^wheel assembly-1;wheel assembly-1/7070 Motor subassembly-1/Part3^7070 Motor subassembly-1;wheel assembly-1/Odrive Bracket^wheel assembly-1;wheel assembly-1/ODrive S1 Housing + Driver Assembly-1;wheel assembly-1/7070 Motor subassembly-1/Part2^7070 Motor subassembly-1;wheel assembly-1/EG23-G20-D8-1;wheel assembly-1/Gearboxhousing bearing sleeve^wheel assembly-1;BSB 30x30-8 322mm (tapped ends)-2;BSB 30x30-8 262mm-5,"base_link ",,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel,-1.33342749659149E-05,-0.000549739183273168,-0.0467828359170405,0,0,0,3.34420692242792,0.0192150795818541,-2.38548925118799E-06,-9.04739990862728E-08,0.0190855959875953,7.59243551196198E-05,0.0298591678577497,0,0,0,0,0,0,package://slip/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/front_left_wheel.STL,,wheel assembly-3/Wheel 3dscan based V3-1;wheel assembly-3/Wheel hub plate^wheel assembly-1;wheel assembly-3/Part2^wheel assembly-1;wheel assembly-3/14mm keyway flange coupling (m5)-1;wheel assembly-3/Wheel cup^wheel assembly-1,front_left_wheel,front_left,front_left_wheel_joint,continuous,0.266860000000023,0.29105,0.040689999999999,-1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
front_right_wheel,-1.55778595030132E-05,-0.000549737840802395,-0.0467815237578565,0,0,0,3.34421508904815,0.0192150731725003,-2.38548925123406E-06,-2.63057517541084E-08,0.0190855891900221,7.59243551195846E-05,0.0298589656006631,0,0,0,0,0,0,package://slip/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/front_right_wheel.STL,,wheel assembly-1/Wheel 3dscan based V3-1;wheel assembly-1/Wheel hub plate^wheel assembly-1;wheel assembly-1/Part2^wheel assembly-1;wheel assembly-1/14mm keyway flange coupling (m5)-1;wheel assembly-1/Wheel cup^wheel assembly-1,front_right_wheel,front_right,front_right_wheel_joint,continuous,0.266860000000024,-0.291049999999999,0.0406900000000003,-1.5707963267949,0,-3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
rear_left_wheel,1.23404959611328E-05,0.000549743587111171,-0.0467823898889478,0,0,0,3.34418013294744,0.0192148250526023,-2.38553890909964E-06,-1.09237718580304E-07,0.0190853415790072,-7.59243307670982E-05,0.0298586002970698,0,0,0,0,0,0,package://slip/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/rear_left_wheel.STL,,wheel assembly-2/Wheel 3dscan based V3-1;wheel assembly-2/Wheel hub plate^wheel assembly-1;wheel assembly-2/Part2^wheel assembly-1;wheel assembly-2/14mm keyway flange coupling (m5)-1;wheel assembly-2/Wheel cup^wheel assembly-1,rear_left_wheel,rear_left,rear_left_wheel_joint,continuous,-0.266859999999976,0.29105,0.0406899999999989,1.5707963267949,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
rear_right_wheel,1.49060315393912E-05,0.00054973478604689,-0.0467818196781258,0,0,0,3.34423367211692,0.0192152123463895,-2.38552374673677E-06,2.35777966074825E-08,0.0190857284950324,-7.59243373564155E-05,0.0298592536861837,0,0,0,0,0,0,package://slip/meshes/rear_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/rear_right_wheel.STL,,wheel assembly-4/Wheel 3dscan based V3-1;wheel assembly-4/Wheel hub plate^wheel assembly-1;wheel assembly-4/Part2^wheel assembly-1;wheel assembly-4/14mm keyway flange coupling (m5)-1;wheel assembly-4/Wheel cup^wheel assembly-1,rear_right_wheel,rear_right,rear_right_wheel_joint,continuous,-0.266859999999975,-0.291049999999999,0.0406900000000002,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
front_lidar,-3.45312616001348E-08,4.40326983208728E-10,0.0162303882472055,0,0,0,0.0455627274361424,9.78183551575387E-06,-1.91036562370552E-10,-1.40472076579896E-11,9.78167247162091E-06,9.56500823462719E-14,1.62858937637286E-05,0,0,0,0,0,0,package://slip/meshes/front_lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/front_lidar.STL,,robosense airy.step-1/0350____-_FOV _1_.step-1/RS-D103-0092-00___________1.step-1,front_lidar,lidar axis,front_lidar_joint,fixed,0.379860000000025,0,0.141164032448074,0,0.78539816339746,0,base_link,0,0,0,,,,,,,,,,,,
rear_lidar,5.92306655700647E-05,-2.14150818189651E-07,-0.0116280577349046,0,0,0,0.0436751745291357,5.92755334020502E-06,1.13872582636253E-07,1.19194919052168E-08,5.88331464486022E-06,7.67735240797594E-11,9.61026696222963E-06,0,0,0,0,0,0,package://slip/meshes/rear_lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/rear_lidar.STL,,YDLiDAR T-mini Plus-3,rear_lidar,Axis_rear_lidar_joint,rear_lidar_joint,fixed,-0.381491722645238,0,0.205375,0,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
camera,-0.0129389417449517,0.000287974270317556,-2.72058561090749E-05,0,0,0,1.28622664218702,0.000774388841731664,1.13924203616145E-05,2.01143062634357E-07,0.000118068862362523,-4.03870185381261E-08,0.000784961869807027,0,0,0,0,0,0,package://slip/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/camera.STL,,D435IF without cover-2,realsense_camera,Axis_camera_joint,camera_joint,fixed,0.416860000000024,0.000803101442472448,0.0921899999999972,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,0.267000050794565,0.0333181307240498,-0.0125505694947848,0,0,0,53.4018566833231,1.82037749787553,-0.00188269570072022,-0.000716993819612538,4.45882996203311,-4.65957799367767E-05,3.16371842238811,0,0,0,0,0,0,package://slip/meshes/imu.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slip/meshes/imu.STL,,ADAFRUIT bno085 IMU-1,imu,Axis_imu_joint,imu_joint,fixed,-0.255657440803023,0.0126499999999997,0.114264017716475,-1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
